DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	180	0	0	61.2493	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	180	0	0	61.2493 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	4253	28	0	61.2493	0	0
DL	0.0340357	3	4	0	1	1	1	1	0	180	0	0	61.2493	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	180	0	0	61.2493 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	4253	28	0	61.2493	0	0
UL	0.0367857	3	6	3	1	1	1	1	0	4253	28	0	61.2493 	0	0
DL	0.0557857	5	5	3	1	1	1	1	0	4253	28	0	61.2493	0	0
UL	0.0567857	5	6	3	1	1	1	1	0	4253	28	0	61.2493 	0	0
DL	2.00284	200	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.10284	210	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.20284	220	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.30284	230	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.40284	240	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.50284	250	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.60284	260	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.70284	270	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.80284	280	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	2.90284	290	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.00284	300	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.10284	310	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.20284	320	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.30284	330	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.40284	340	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.50284	350	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.60284	360	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.70284	370	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
DL	3.80284	380	2	3	1	4	1	1	0	730	0	0	61.2493	0	0
